Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
1,1,0,1,1.0000000000
2,1,1,3,1.5000000000
3,1,2,6,2.0000000000
4,1,0,7,1.7500000000
5,1,4,12,2.4000000000
6,1,0,13,2.1666666667
7,1,0,14,2.0000000000
8,1,0,15,1.8750000000
9,1,8,24,2.6666666667
10,1,0,25,2.5000000000
11,1,0,26,2.3636363636
12,1,0,27,2.2500000000
13,1,0,28,2.1538461538
14,1,0,29,2.0714285714
15,1,0,30,2.0000000000
16,1,0,31,1.9375000000
17,1,16,48,2.8235294118
18,1,0,49,2.7222222222
19,1,0,50,2.6315789474
20,1,0,51,2.5500000000
21,1,0,52,2.4761904762
22,1,0,53,2.4090909091
23,1,0,54,2.3478260870
24,1,0,55,2.2916666667
25,1,0,56,2.2400000000
26,1,0,57,2.1923076923
27,1,0,58,2.1481481481
28,1,0,59,2.1071428571
29,1,0,60,2.0689655172
30,1,0,61,2.0333333333
31,1,0,62,2.0000000000
32,1,0,63,1.9687500000
33,1,32,96,2.9090909091
34,1,0,97,2.8529411765
35,1,0,98,2.8000000000
36,1,0,99,2.7500000000
37,1,0,100,2.7027027027
38,1,0,101,2.6578947368
39,1,0,102,2.6153846154
40,1,0,103,2.5750000000
41,1,0,104,2.5365853659
42,1,0,105,2.5000000000
43,1,0,106,2.4651162791
44,1,0,107,2.4318181818
45,1,0,108,2.4000000000
46,1,0,109,2.3695652174
47,1,0,110,2.3404255319
48,1,0,111,2.3125000000
49,1,0,112,2.2857142857
50,1,0,113,2.2600000000
51,1,0,114,2.2352941176
52,1,0,115,2.2115384615
53,1,0,116,2.1886792453
54,1,0,117,2.1666666667
55,1,0,118,2.1454545455
56,1,0,119,2.1250000000
57,1,0,120,2.1052631579
58,1,0,121,2.0862068966
59,1,0,122,2.0677966102
60,1,0,123,2.0500000000
61,1,0,124,2.0327868852
62,1,0,125,2.0161290323
63,1,0,126,2.0000000000
64,1,0,127,1.9843750000
65,1,64,192,2.9538461538
66,1,0,193,2.9242424242
67,1,0,194,2.8955223881
68,1,0,195,2.8676470588
69,1,0,196,2.8405797101
70,1,0,197,2.8142857143
71,1,0,198,2.7887323944
72,1,0,199,2.7638888889
73,1,0,200,2.7397260274
74,1,0,201,2.7162162162
75,1,0,202,2.6933333333
76,1,0,203,2.6710526316
77,1,0,204,2.6493506494
78,1,0,205,2.6282051282
79,1,0,206,2.6075949367
80,1,0,207,2.5875000000
81,1,0,208,2.5679012346
82,1,0,209,2.5487804878
83,1,0,210,2.5301204819
84,1,0,211,2.5119047619
85,1,0,212,2.4941176471
86,1,0,213,2.4767441860
87,1,0,214,2.4597701149
88,1,0,215,2.4431818182
89,1,0,216,2.4269662921
90,1,0,217,2.4111111111
91,1,0,218,2.3956043956
92,1,0,219,2.3804347826
93,1,0,220,2.3655913978
94,1,0,221,2.3510638298
95,1,0,222,2.3368421053
96,1,0,223,2.3229166667
97,1,0,224,2.3092783505
98,1,0,225,2.2959183673
99,1,0,226,2.2828282828
100,1,0,227,2.2700000000
101,1,0,228,2.2574257426
102,1,0,229,2.2450980392
103,1,0,230,2.2330097087
104,1,0,231,2.2211538462
105,1,0,232,2.2095238095
106,1,0,233,2.1981132075
107,1,0,234,2.1869158879
108,1,0,235,2.1759259259
109,1,0,236,2.1651376147
110,1,0,237,2.1545454545
111,1,0,238,2.1441441441
112,1,0,239,2.1339285714
113,1,0,240,2.1238938053
114,1,0,241,2.1140350877
115,1,0,242,2.1043478261
116,1,0,243,2.0948275862
117,1,0,244,2.0854700855
118,1,0,245,2.0762711864
119,1,0,246,2.0672268908
120,1,0,247,2.0583333333
121,1,0,248,2.0495867769
122,1,0,249,2.0409836066
123,1,0,250,2.0325203252
124,1,0,251,2.0241935484
125,1,0,252,2.0160000000
126,1,0,253,2.0079365079
127,1,0,254,2.0000000000
128,1,0,255,1.9921875000
129,1,128,384,2.9767441860
130,1,0,385,2.9615384615
131,1,0,386,2.9465648855
132,1,0,387,2.9318181818
133,1,0,388,2.9172932331
134,1,0,389,2.9029850746
135,1,0,390,2.8888888889
136,1,0,391,2.8750000000
137,1,0,392,2.8613138686
138,1,0,393,2.8478260870
139,1,0,394,2.8345323741
140,1,0,395,2.8214285714
141,1,0,396,2.8085106383
142,1,0,397,2.7957746479
143,1,0,398,2.7832167832
144,1,0,399,2.7708333333
145,1,0,400,2.7586206897
146,1,0,401,2.7465753425
147,1,0,402,2.7346938776
148,1,0,403,2.7229729730
149,1,0,404,2.7114093960
150,1,0,405,2.7000000000
151,1,0,406,2.6887417219
152,1,0,407,2.6776315789
153,1,0,408,2.6666666667
154,1,0,409,2.6558441558
155,1,0,410,2.6451612903
156,1,0,411,2.6346153846
157,1,0,412,2.6242038217
158,1,0,413,2.6139240506
159,1,0,414,2.6037735849
160,1,0,415,2.5937500000
161,1,0,416,2.5838509317
162,1,0,417,2.5740740741
163,1,0,418,2.5644171779
164,1,0,419,2.5548780488
165,1,0,420,2.5454545455
166,1,0,421,2.5361445783
167,1,0,422,2.5269461078
168,1,0,423,2.5178571429
169,1,0,424,2.5088757396
170,1,0,425,2.5000000000
171,1,0,426,2.4912280702
172,1,0,427,2.4825581395
173,1,0,428,2.4739884393
174,1,0,429,2.4655172414
175,1,0,430,2.4571428571
176,1,0,431,2.4488636364
177,1,0,432,2.4406779661
178,1,0,433,2.4325842697
